group,frequency
Unknown,978
Allied Democratic Forces (ADF),306
Separatists,205
Lord's Resistance Army (LRA),141
Mayi Mayi,126
Hutu extremists,76
Democratic Front for the Liberation of Rwanda (FDLR),74
Revolutionary United Front (RUF),59
Patriotic Resistance Front in Ituri (FRPI),49
Fulani extremists,40
Ambazonia Defense Forces (ADF),34
Party for the Liberation of the Hutu People (PALIPEHUTU),34
Movement for the Emancipation of the Niger Delta (MEND),33
National Liberation Front (FNL) (Burundi),33
Niger Delta Avengers (NDA),32
Nyatura Militia,26
Sudan People's Liberation Movement in Opposition (SPLM-IO),20
Gbagbo Loyalists,18
Tutsi extremists,18
Raia Mutomboki Militia,15
Mai Mai Simba Militia,13
Mai Mai Mazembe Militia,12
National Patriotic Front of Liberia (NPFL),12
Nduma Defense of Congo (NDC),12
Niger Delta Greenland Justice Mandate (NDGJM),11
Ijaw extremists,10
Rebels,10
Resistance to the Rule of Law in Burundi (Red-Tabara),10
National Council for Defense of Democracy (NCDD),9
Alliance of Patriots for a Free and Sovereign Congo (APCLS),8
Central Africa Province of the Islamic State,8
Popular Front for the Renaissance of the Central African Republic (FPRC),7
Anti-Balaka Militia,6
Cooperative for the Development of the Congo (CODECO) militia,6
Mai Mai Yakutumba Militia,6
National Movement of Revolutionaries (MNR),6
The Joint Revolutionary Council,6
Ambazonia Restoration Forces (ARF),5
Boko Haram,5
Forces for the Defense of Democracy (FDD),5
M23,5
Popular Front for Justice in the Congo,5
Tribesmen,5
Twigwaneho militia,5
Lendu militia,4
Liberians United for Reconciliation and Democracy (LURD),4
Mai Mai Charles Militia,4
Modakeke Ethnics,4
Ambazonia Tigers,3
Kamwina Nsapu Militia,3
Mai Mai Malaika Militia,3
Niger Delta Liberation Force (NDLF)-Nigeria,3
Return, Reclamation, Rehabilitation (3R),3
Seleka,3
Union of Congolese Patriots (UPC),3
Banyamulenge rebels,2
Congolese Democratic Coalition,2
Congolese Patriotic Resistence-Patriotic Armed Forces (Pareco/FAP),2
Federation of Students and Scholars of Cote d'Ivoire (FESCI),2
Gunmen,2
Hutus Former Soldiers,2
Imbonerakure militia,2
Kamajor Hunters,2
Mai Mai Karakara Militia,2
Militia Members,2
Modakeke Ethnic Activists,2
Movement for the Restoration of the Independence of Southern Cameroons,2
National Congress for the Defense of the People (CNDP),2
National Council for Revival and Democracy (CNRD),2
National Front for the Revolution in Burundi (FRONABU-Tabara),2
Nationalist Integrationist Front (FNI),2
Ngumino militia,2
Niger Delta People's Volunteer Force (NDPVF),2
Republican Forces of Burundi (FOREBU),2
Union of Patriots for the Defense of Innocents (UPDI),2
United Liberation Movement for Democracy in Liberia (ULIMO),2
Urhobo Gbagbako,2
Al-Qaida in the Islamic Maghreb (AQIM),1
Allied Democratic Forces of Guinea (RDFG),1
Anti-Government Guerrillas,1
Armed Forces Revolutionary Council (AFRC),1
Civil Defense Force (CDF),1
Colonel Albert Kahasha Militia,1
Congolese Rally for Democracy (RCD),1
Convention of Liberal Reformers (CLR),1
Delta Democratic Militia,1
Egbema National Front,1
Enyele Militia,1
Front for Peace and Reconciliation (FRP),1
Front for the Liberation of the Enclave of Cabinda (FLEC),1
Gugama Youth Federation,1
Inkotanyi,1
Itsekiri,1
Ivorian Popular Front,1
Mai Mai Kyandenga Militia,1
Mai Mai Portuguais Militia,1
Muslim extremists,1
Muslim Militants,1
Muslim Youth,1
National Resistance Movement (NRM),1
New Ugandan Army,1
Niger Delta extremists,1
Niger Delta Freedom Fighters (NDDF),1
Patriotic Youth Movement of the Gabonese Defence and Security Forces,1
Rastas,1
Rebel Military Unit,1
Red Scorpion,1
Revolutionary Movement for National Salvation (REMNASA),1
South Sudan National Movement for Change (SSNMC-Unvuas),1
Supporters of Ernest Wamba dia Wamba,1
Tribal Clash,1
Tribal Group,1
Twa Militia,1
U/I Liberian Gunmen,1
Ugandan People's Democratic Army,1
Unidentified Infiltrators,1
Urhobo Revolutionary Army,1
West Side Boys,1
